Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,66152004.0,24189822.0,Windows,AMD64,CPython,3.9.5,2021-07-15 08:53:43.987517
Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz,41737746.0,15476104.0,Darwin,x86_64,CPython,3.8.8,2021-07-20 12:29:54.139567
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,68704218.0,24851761.0,Linux,x86_64,CPython,3.8.10,2021-07-20 12:37:24.622730
Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz,47780879.0,17277109.0,Windows,AMD64,CPython,3.8.8,2021-07-20 12:37:37.667643
Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz,27887712.0,9746846.0,Linux,x86_64,CPython,3.8.10,2021-07-20 12:37:55.276225
Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,31636739.0,20394855.0,Linux,x86_64,CPython,2.7.18,2021-07-20 12:38:03.170684
Intel(R) Core(TM) i5-2467M CPU @ 1.60GHz,22742031.0,8244970.0,Linux,x86_64,CPython,3.8.10,2021-07-20 12:39:56.738568
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,55397058.0,18673892.0,Windows,AMD64,CPython,3.8.2,2021-07-20 12:40:05.356899
Intel(R) Core(TM) i7-4600M CPU @ 2.90GHz,60892910.0,22217636.0,Linux,x86_64,CPython,3.8.10,2021-07-20 12:45:28.948378
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,86217413.0,29668254.0,Linux,x86_64,CPython,3.8.10,2021-07-31 16:50:15.416889
AMD Ryzen 3 4300U with Radeon Graphics,78217608.0,30330196.0,Linux,x86_64,CPython,3.8.10,2021-08-07 09:35:04.200914
Apple M1,94419041.0,34310711.0,Darwin,arm64,CPython,3.9.6,2021-08-12 12:24:32.468710
Intel(R) Core(TM) i5-4300U CPU @ 1.90GHz,51733592.0,17792106.0,Windows,AMD64,CPython,3.9.6,2021-08-13 10:02:15.860830
Apple M1,96886710.0,34363178.0,Darwin,arm64,CPython,3.9.6,2021-08-27 20:47:52.652903
aarch64,35733846.0,14416881.0,Linux,aarch64,CPython,3.7.10,2021-09-15 14:19:58.140303
Intel(R) Core(TM) i3 CPU         550  @ 3.20GHz,37482202.0,13848469.0,Windows,AMD64,CPython,3.8.5,2021-09-17 11:06:23.335647
Intel(R) Xeon(R) CPU @ 2.20GHz,46856908.0,16663583.0,Linux,x86_64,CPython,3.8.5,2021-09-17 11:07:37.098862
Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz,45957571.0,15849091.0,Windows,AMD64,CPython,3.9.6,2021-09-23 10:33:56.331233
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,61035957.0,21246602.0,Linux,x86_64,CPython,3.8.10,2021-11-09 12:43:51.987397
Apple M1,50089324.0,21317094.0,Darwin,x86_64,CPython,3.8.8,2021-11-09 12:44:52.756474
"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",31581507.0,11767973.0,Windows,AMD64,CPython,3.10.0,2021-11-09 12:44:57.886099
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,64364560.0,23302201.0,Windows,AMD64,CPython,3.9.7,2021-11-09 12:45:01.489700
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,107534976.0,35367807.0,Windows,AMD64,CPython,3.10.0,2021-11-09 12:48:16.421564
Genuine Intel(R) CPU 0000 @ 2.10GHz,67355488.0,22281143.0,Windows,AMD64,CPython,3.10.0,2021-11-10 17:51:20.443972
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,55037657.0,18700378.0,Darwin,x86_64,CPython,3.9.7,2021-11-16 03:28:18.184688
Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,75800627.0,28299625.0,Linux,x86_64,CPython,3.8.10,2021-12-02 05:02:16.058857
AMD Ryzen 7 4800H with Radeon Graphics,81606672.0,30667132.0,Windows,AMD64,CPython,3.10.1,2021-12-17 03:01:07.279594
Apple M1,97966777.0,34448903.0,Darwin,arm64,CPython,3.9.10,2022-03-15 05:19:59.002659
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,68018419.0,20026354.0,Linux,x86_64,CPython,3.8.10,2022-03-22 12:32:32.269025
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,68402119.0,24840288.0,Linux,x86_64,CPython,3.8.10,2022-03-22 12:32:41.825377
Intel(R) Core(TM) i5-4310M CPU @ 2.70GHz,48415365.0,17901673.0,Windows,AMD64,CPython,3.10.2,2022-03-22 12:33:04.669712
Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,98246872.0,36378646.0,Linux,x86_64,CPython,3.8.10,2022-03-22 12:34:25.207555
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,62008197.0,21092774.0,Windows,AMD64,CPython,3.10.3,2022-03-22 12:38:36.809945
Intel(R) Xeon(R) CPU E5-2683 v3 @ 2.00GHz,31819625.0,15012920.0,Linux,x86_64,CPython,3.6.15,2022-04-14 11:16:26.295817
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,89024205.0,30264420.0,Windows,AMD64,CPython,3.9.8,2022-04-14 12:31:32.934604
Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,25524724.0,9307685.0,Windows,AMD64,CPython,3.8.3,2022-05-31 08:59:37.856851
AMD Ryzen 5 4600H with Radeon Graphics,75452336.0,29145681.0,Windows,AMD64,CPython,3.10.4,2022-06-01 12:45:10.851138
AMD Ryzen 5 5500U with Radeon Graphics,78288469.0,25263731.0,Linux,x86_64,CPython,3.10.4,2022-06-02 17:31:48.917029
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,54484386.0,20304751.0,Linux,x86_64,CPython,3.10.4,2022-06-07 08:08:40.428150
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,35938752.0,22432072.0,Linux,x86_64,CPython,2.7.17,2022-07-07 12:40:11.524948
AMD Ryzen 5 5500U with Radeon Graphics,82266332.0,24564189.0,Linux,x86_64,CPython,3.8.10,2022-07-07 12:40:12.314760
Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz,48693789.0,15787138.0,Linux,x86_64,CPython,3.8.10,2022-07-07 12:40:30.147936
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,65744084.0,22813915.0,Linux,x86_64,CPython,3.8.10,2022-07-07 12:40:39.475982
Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,82221966.0,29707264.0,Linux,x86_64,CPython,3.8.10,2022-07-07 12:41:23.258684
AMD Ryzen 5 4600H with Radeon Graphics,82090530.0,23689107.0,Linux,x86_64,CPython,3.8.10,2022-07-11 03:32:41.632934
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,72017017.0,25940417.0,Linux,x86_64,CPython,3.8.10,2022-07-14 03:23:01.369107
11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,99162080.0,31801659.0,Windows,AMD64,CPython,3.10.5,2022-08-03 04:44:13.778328
Apple M2,110957004.0,40945919.0,Darwin,arm64,CPython,3.10.6,2022-08-04 05:28:08.592161
Apple M2,111068436.0,40303282.0,Darwin,arm64,CPython,3.10.6,2022-08-04 12:18:02.843853
Intel(R) Core(TM) i7-4870HQ CPU @ 2.50GHz,43187492.0,17493914.0,Darwin,x86_64,CPython,3.8.8,2022-08-05 08:55:40.848051
Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,42554640.0,12414310.0,Windows,AMD64,CPython,3.10.5,2022-08-05 10:29:34.711675
Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,52832900.0,20529833.0,Windows,AMD64,CPython,3.10.5,2022-08-11 13:06:16.739184
Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz,31423575.0,11208715.0,Linux,x86_64,CPython,3.10.4,2022-08-12 00:46:19.463962
11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,93169362.0,32747417.0,Linux,x86_64,CPython,3.10.4,2022-08-28 10:17:34.921544
11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,86918731.0,28726221.0,Windows,AMD64,CPython,3.10.5,2022-08-28 10:27:06.712135
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,66306911.0,24285534.0,Linux,x86_64,CPython,3.8.10,2022-09-02 16:55:06.995442
AMD Ryzen 3 4300U with Radeon Graphics,79302801.0,30315393.0,Linux,x86_64,CPython,3.8.10,2022-09-02 18:02:46.756296
12th Gen Intel(R) Core(TM) i5-12400,130067765.0,46776623.0,Windows,AMD64,CPython,3.10.6,2022-09-02 21:15:47.078702
