Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz,38790773.0,13745280.0,Linux,x86_64,CPython,3.6.2,2017-10-06 00:56:04.244738
Intel(R) Core(TM) i5-4310U CPU @ 2.00GHz,497411223.0,489573312.0,Linux,x86_64,PyPy,3.5.3,2017-10-06 11:02:42.089037
Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz,29466383.0,16722966.0,Linux,x86_64,CPython,2.7.13,2017-10-10 00:13:36.517663
Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,64890960.0,21299083.0,Linux,x86_64,CPython,3.6.1,2017-10-11 14:34:43.703167
Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,53455284.0,15660516.0,Windows,AMD64,CPython,3.6.3,2017-11-04 16:46:08.467873
Intel(R) Xeon(R) CPU E5-2630 v2 @ 2.60GHz,39384278.0,15431545.0,Linux,x86_64,CPython,3.5.2,2017-11-19 14:33:01.555737
Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz,29664176.0,11546963.0,Linux,x86_64,CPython,3.5.2,2017-11-19 14:34:02.514482
AMD Ryzen 5 1400 Quad-Core Processor,42243018.0,12667690.0,Windows,AMD64,CPython,3.6.3,2017-11-20 15:43:58.461243
Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz,28295219.0,9293688.0,Windows,AMD64,CPython,3.6.3,2017-12-03 21:26:58.761091
Intel(R) Core(TM) i5-4250U CPU @ 1.30GHz,30366441.0,17423994.0,Darwin,x86_64,CPython,2.7.10,2017-12-04 01:22:06.085951
Intel(R) Core(TM) i3-3225 CPU @ 3.30GHz,37040815.0,11518825.0,Windows,AMD64,CPython,3.6.3,2017-12-07 11:13:49.449702
Intel(R) Core(TM) i5-2540M CPU @ 2.60GHz,32173049.0,20497715.0,Linux,x86_64,CPython,2.7.13,2017-12-08 09:48:34.869081
ARMv6-compatible processor rev 7 (v6l),839250.0,252418.0,Linux,armv6l,CPython,3.5.3,2018-03-09 22:39:11.871270
